12_10_50.ulg 中与 07_37_59(1).ulg 不一样的参数值
=====================================================

日志A: /home/btfw/1/12_10_50.ulg
对比日志B: /home/btfw/1/07_37_59(1).ulg

列出参数数量: 167
  - 两个日志都有但值不同: 133
  - 仅12_10_50.ulg存在: 34
12_10_50飞行中参数改动记录: 0
07_37_59(1)飞行中参数改动记录: 0

参数名              | 12_10_50.ulg参数值  
---------------- | -----------------
CAL_ACC0_XOFF    | -0.0685744285583 
CAL_ACC0_XSCALE  | 1                
CAL_ACC0_YOFF    | -0.0572962760925 
CAL_ACC0_YSCALE  | 1                
CAL_ACC0_ZOFF    | 0.0271329879761  
CAL_ACC0_ZSCALE  | 1                
CAL_ACC1_XOFF    | -0.00893354415894
CAL_ACC1_XSCALE  | 1                
CAL_ACC1_YOFF    | -0.0112509727478 
CAL_ACC1_YSCALE  | 1                
CAL_ACC1_ZOFF    | 0.0288119316101  
CAL_ACC1_ZSCALE  | 1                
CAL_BARO0_OFF    | -79.345703125    
CAL_BARO1_OFF    | -163.892578125   
CAL_GYRO0_XOFF   | -0.00193045462947
CAL_GYRO0_YOFF   | 0.00178997695912 
CAL_GYRO0_ZOFF   | -0.00203739549033
CAL_GYRO1_XOFF   | 0.0148736489937  
CAL_GYRO1_YOFF   | -0.0181114859879 
CAL_GYRO1_ZOFF   | 0.00224093883298 
CAL_MAG0_XODIAG  | -0.00456157745793
CAL_MAG0_XOFF    | 0.0153104458004  
CAL_MAG0_XSCALE  | 1.04632782936    
CAL_MAG0_YODIAG  | -0.0108328219503 
CAL_MAG0_YOFF    | -0.0587644763291 
CAL_MAG0_YSCALE  | 0.9926456213     
CAL_MAG0_ZODIAG  | -0.0045351786539 
CAL_MAG0_ZOFF    | -0.152270004153  
CAL_MAG0_ZSCALE  | 0.961793661118   
CAL_MAG1_XODIAG  | -0.0149624338374 
CAL_MAG1_XOFF    | 0.129553422332   
CAL_MAG1_XSCALE  | 0.971576333046   
CAL_MAG1_YODIAG  | 0.00430253241211 
CAL_MAG1_YOFF    | 0.0106805199757  
CAL_MAG1_YSCALE  | 0.999840319157   
CAL_MAG1_ZODIAG  | 0.00578851392493 
CAL_MAG1_ZOFF    | -0.186149284244  
CAL_MAG1_ZSCALE  | 1.0297832489     
CAL_MAG2_ID      | 8944643          
CAL_MAG2_PITCH   | 0                
CAL_MAG2_PRIO    | 75               
CAL_MAG2_ROLL    | 0                
CAL_MAG2_XCOMP   | 0                
CAL_MAG2_XODIAG  | 0                
CAL_MAG2_XOFF    | 0.122595123947   
CAL_MAG2_XSCALE  | 1                
CAL_MAG2_YAW     | 0                
CAL_MAG2_YCOMP   | 0                
CAL_MAG2_YODIAG  | 0                
