12_10_50.ulg 相对 07_37_59(1).ulg 的不同参数
==================================================

基准日志A: /home/btfw/1/12_10_50.ulg
对比日志B: /home/btfw/1/07_37_59(1).ulg

12_10_50 初始参数数量: 1216
07_37_59(1) 初始参数数量: 1185
12_10_50中需要列出的不同参数数量: 167
  - 两个日志都有但值不同: 133
  - 仅12_10_50存在: 34
  - 仅07_37_59(1)存在，12_10_50无对应值，未列入主表: 3
12_10_50飞行中参数改动记录: 0
07_37_59(1)飞行中参数改动记录: 0

参数名              | 12_10_50.ulg中的值   | 07_37_59(1).ulg中的值 | 差异类型       
---------------- | ----------------- | ------------------ | -----------
CAL_ACC0_XOFF    | -0.0685744285583  | -0.10383117944     | 值不同        
CAL_ACC0_XSCALE  | 1                 | 1.00140833855      | 值不同        
CAL_ACC0_YOFF    | -0.0572962760925  | -0.0873295664787   | 值不同        
CAL_ACC0_YSCALE  | 1                 | 1.00287437439      | 值不同        
CAL_ACC0_ZOFF    | 0.0271329879761   | 0.0852551087737    | 值不同        
CAL_ACC0_ZSCALE  | 1                 | 0.989469408989     | 值不同        
CAL_ACC1_XOFF    | -0.00893354415894 | -0.0180544108152   | 值不同        
CAL_ACC1_XSCALE  | 1                 | 1.00221276283      | 值不同        
CAL_ACC1_YOFF    | -0.0112509727478  | -0.0346175953746   | 值不同        
CAL_ACC1_YSCALE  | 1                 | 1.00428009033      | 值不同        
CAL_ACC1_ZOFF    | 0.0288119316101   | 0.0255069322884    | 值不同        
CAL_ACC1_ZSCALE  | 1                 | 0.990302503109     | 值不同        
CAL_BARO0_OFF    | -79.345703125     | -15278.3203125     | 值不同        
CAL_BARO1_OFF    | -163.892578125    | -15351.6796875     | 值不同        
CAL_GYRO0_XOFF   | -0.00193045462947 | 0.0124480705708    | 值不同        
CAL_GYRO0_YOFF   | 0.00178997695912  | -0.0141548644751   | 值不同        
CAL_GYRO0_ZOFF   | -0.00203739549033 | 0.00318499631248   | 值不同        
CAL_GYRO1_XOFF   | 0.0148736489937   | 0.00943442434072   | 值不同        
CAL_GYRO1_YOFF   | -0.0181114859879  | -0.0175251308829   | 值不同        
CAL_GYRO1_ZOFF   | 0.00224093883298  | -0.0140538178384   | 值不同        
CAL_MAG0_XODIAG  | -0.00456157745793 | -0.00974619761109  | 值不同        
CAL_MAG0_XOFF    | 0.0153104458004   | -0.080130726099    | 值不同        
CAL_MAG0_XSCALE  | 1.04632782936     | 1.01331663132      | 值不同        
CAL_MAG0_YODIAG  | -0.0108328219503  | -0.00771341472864  | 值不同        
CAL_MAG0_YOFF    | -0.0587644763291  | 0.156083837152     | 值不同        
CAL_MAG0_YSCALE  | 0.9926456213      | 0.99844533205      | 值不同        
CAL_MAG0_ZODIAG  | -0.0045351786539  | -0.015355873853    | 值不同        
CAL_MAG0_ZOFF    | -0.152270004153   | -0.0123724294826   | 值不同        
CAL_MAG0_ZSCALE  | 0.961793661118    | 0.988631904125     | 值不同        
CAL_MAG1_XODIAG  | -0.0149624338374  | -0.0146948490292   | 值不同        
CAL_MAG1_XOFF    | 0.129553422332    | 0.201701968908     | 值不同        
CAL_MAG1_XSCALE  | 0.971576333046    | 0.997443199158     | 值不同        
CAL_MAG1_YODIAG  | 0.00430253241211  | 0.00837845541537   | 值不同        
CAL_MAG1_YOFF    | 0.0106805199757   | 0.0421819649637    | 值不同        
CAL_MAG1_YSCALE  | 0.999840319157    | 0.990810215473     | 值不同        
CAL_MAG1_ZODIAG  | 0.00578851392493  | 0.00162367685698   | 值不同        
CAL_MAG1_ZOFF    | -0.186149284244   | -0.0915993303061   | 值不同        
CAL_MAG1_ZSCALE  | 1.0297832489      | 1.01217329502      | 值不同        
CAL_MAG2_ID      | 8944643           | 0                  | 值不同        
CAL_MAG3_ID      | 8944899           | 0                  | 值不同        
COM_FLIGHT_UUID  | 152               | 20                 | 值不同        
COM_RC_IN_MODE   | 1                 | 3                  | 值不同        
COM_RC_LOSS_T    | 3                 | 0.5                | 值不同        
CRDZ_ACT_AUX     | -1                | 3                  | 值不同        
CRDZ_ACT_BTN     | 0                 | -1                 | 值不同        
CRDZ_DIST        | 0                 | -1                 | 值不同        
DYTG_ACT_AUX     | -1                | 1                  | 值不同        
DYTG_ACT_BTN     | 2                 | -1                 | 值不同        
DYTG_AUTO_EN     | 1                 | 0                  | 值不同        
DYTG_AUTO_N      | 3                 | 5                  | 值不同        
DYTG_COOP_EN     | 1                 | 0                  | 值不同        
DYTG_FCONE       | 40                | 35                 | 值不同        
DYTG_KA_FOL      | 0.5               | 1.20000004768      | 值不同        
DYTG_KV_FOL      | 0.800000011921    | 1                  | 值不同        
DYTG_LOCK_N      | 4                 | 3                  | 值不同        
DYTG_LPF_A       | 0.699999988079    | 0.649999976158     | 值不同        
DYTG_LYSIGN      | 1                 | -1                 | 值不同        
DYTG_MAXACC      | 8                 | 4                  | 值不同        
DYTG_MAXAGE      | 0.20000000298     | 0.25               | 值不同        
DYTG_MAXDZ       | 8                 | 1                  | 值不同        
DYTG_MAXV        | 42                | 8                  | 值不同        
DYTG_MAXYAWR     | 120               | 30                 | 值不同        
DYTG_N_FOL       | 0.600000023842    | 2                  | 值不同        
DYTG_PREDMAX     | 0.0299999993294   | 0.20000000298      | 值不同        
DYTG_RELOCKN     | 10                | 3                  | 值不同        
DYTG_V_FOL       | 40                | 2                  | 值不同        
DYTG_XYDB        | 0.119999997318    | 0.20000000298      | 值不同        
DYTG_XYFULL      | 0.850000023842    | 0.600000023842     | 值不同        
DYTG_XYOVR_Z     | 0.600000023842    | 0.75               | 值不同        
DYTG_XYROT_EN    | 1                 | 0                  | 值不同        
DYTG_XYROT_MIN   | 0.15000000596     | 0.20000000298      | 值不同        
DYTG_XYROT_W     | 0.800000011921    | 1                  | 值不同        
DYTG_XYSLEW      | 15                | 3                  | 值不同        
DYTG_YAWLIM      | 30                | 25                 | 值不同        
DYTG_YAWLOS      | 0.119999997318    | 0.20000000298      | 值不同        
DYTG_ZSCALE      | 0.34999999404     | 0.25               | 值不同        
DYTG_ZXY_EN      | 1                 | 0                  | 值不同        
DYTG_ZXY_FULL    | 0.800000011921    | 0.699999988079     | 值不同        
DYTG_ZXY_MIN     | 0.34999999404     | 0.25               | 值不同        
DYT_HOME_PIT     | 0                 | -45                | 值不同        
DYT_LOG_MS       | 500               | 0                  | 值不同        
DYT_RAWLOG       | 1                 | 0                  | 值不同        
EKF2_MAG_DECL    | -4.84752178192    | -4.84749507904     | 值不同        
FD_FAIL_P        | 80                | 90                 | 值不同        
FD_FAIL_R        | 80                | 90                 | 值不同        
LND_FLIGHT_T_HI  | 2                 | 0                  | 值不同        
LND_FLIGHT_T_LO  | -1103393143       | 253505555          | 值不同        
MAV_SYS_ID       | 2                 | 1                  | 值不同        
MC_YAWRATE_MAX   | 90                | 200                | 值不同        
MPC_ACC_HOR      | 6                 | 12                 | 值不同        
MPC_ACC_HOR_MAX  | 10                | 15                 | 值不同        
MPC_ACC_UP_MAX   | 7                 | 4                  | 值不同        
MPC_JERK_AUTO    | 2                 | 25                 | 值不同        
MPC_JERK_MAX     | 12                | 35                 | 值不同        
MPC_MAN_TILT_MAX | 60                | 80                 | 值不同        
MPC_THR_MIN      | 0.119999997318    | 0.0799999982119    | 值不同        
MPC_TILTMAX_AIR  | 60                | 80                 | 值不同        
MPC_TKO_SPEED    | 3                 | 2                  | 值不同        
MPC_VEL_MANUAL   | 3                 | 55                 | 值不同        
MPC_XY_CRUISE    | 3                 | 55                 | 值不同        
MPC_XY_VEL_MAX   | 45                | 55                 | 值不同        
