category,parameter,current_value,system_default_in_log,current_setup_default_in_log,changed_from_logged_default,unit,px4_group,short_description,source_status
Commander模式/解锁/安全约束,COM_ACT_FAIL_ACT,0,,,,,Commander,Set the actuator failure failsafe mode,metadata
Commander模式/解锁/安全约束,COM_ARMABLE,1,,,,,Commander,Flag to allow arming,metadata
Commander模式/解锁/安全约束,COM_ARM_AUTH_ID,10,,,,,Commander,Arm authorizer system id,metadata
Commander模式/解锁/安全约束,COM_ARM_AUTH_MET,0,,,,,Commander,Arm authorization method,metadata
Commander模式/解锁/安全约束,COM_ARM_AUTH_REQ,0,,,,,Commander,Require arm authorization to arm,metadata
Commander模式/解锁/安全约束,COM_ARM_AUTH_TO,1.0,,,,s,Commander,Arm authorization timeout,metadata
Commander模式/解锁/安全约束,COM_ARM_BAT_MIN,-1.0,,,,norm,Commander,Minimum battery level for arming,metadata
Commander模式/解锁/安全约束,COM_ARM_CHK_ESCS,0,,,,,Commander,Enable checks on ESCs that report telemetry,metadata
Commander模式/解锁/安全约束,COM_ARM_HFLT_CHK,1,,,,,Commander,Enable FMU SD card hardfault detection check,metadata
Commander模式/解锁/安全约束,COM_ARM_IMU_ACC,0.699999988079071,,,,m/s^2,Commander,Maximum accelerometer inconsistency between IMU units that will allow arming,metadata
Commander模式/解锁/安全约束,COM_ARM_IMU_GYR,0.25,,,,rad/s,Commander,Maximum rate gyro inconsistency between IMU units that will allow arming,metadata
Commander模式/解锁/安全约束,COM_ARM_MAG_ANG,60,,,,deg,Commander,Maximum magnetic field inconsistency between units that will allow arming,metadata
Commander模式/解锁/安全约束,COM_ARM_MAG_STR,2,,,,,Commander,Enable mag strength preflight check,metadata
Commander模式/解锁/安全约束,COM_ARM_MIS_REQ,0,,,,,Commander,Require valid mission to arm,metadata
Commander模式/解锁/安全约束,COM_ARM_ODID,0,,,,,Commander,Enable Drone ID system detection and health check,metadata
Commander模式/解锁/安全约束,COM_ARM_SDCARD,1,,,,,Commander,Enable FMU SD card detection check,metadata
Commander模式/解锁/安全约束,COM_ARM_SWISBTN,0,,,,,Commander,Arm switch is a momentary button,metadata
Commander模式/解锁/安全约束,COM_ARM_WO_GPS,1,,,,,Commander,GPS preflight check,metadata
Commander模式/解锁/安全约束,COM_CPU_MAX,95.0,,,,%,Commander,Maximum allowed CPU load to still arm,metadata
