parameter,current_value,current_setup_default
BAT1_N_CELLS,6,0
BAT1_V_CHARGED,4.199999809265137,4.050000190734863
CAL_ACC0_ID,2818058,0
CAL_ACC0_PRIO,50,-1
CAL_ACC1_ID,3014674,0
CAL_ACC1_PRIO,50,-1
CAL_BARO0_ID,7274530,0
CAL_BARO0_PRIO,50,-1
CAL_BARO1_ID,12084001,0
CAL_BARO1_PRIO,50,-1
CAL_GYRO0_ID,2818058,0
CAL_GYRO0_PRIO,50,-1
CAL_GYRO1_ID,3014674,0
CAL_GYRO1_PRIO,50,-1
CAL_MAG0_ID,925209,0
CAL_MAG0_PRIO,0,-1
CAL_MAG1_ID,8944899,0
CAL_MAG1_PRIO,75,-1
CAL_MAG1_ROT,34,-1
CAL_MAG2_ID,8944643,0
CAL_MAG2_PRIO,75,-1
CAL_MAG3_ID,8944899,0
CAL_MAG3_PRIO,75,-1
COM_RC_IN_MODE,1,3
COM_RC_LOSS_T,3.0,0.5
CRDZ_ACT_AUX,-1,3
CRDZ_ACT_BTN,0,-1
DYTG_ACT_AUX,-1,1
DYTG_ACT_BTN,2,-1
DYTG_AUTO_EN,1,0
DYTG_AUTO_N,3,5
DYTG_COOP_EN,1,0
DYTG_FCONE,40.0,35.0
DYTG_KA_FOL,0.5,1.2000000476837158
DYTG_KV_FOL,0.800000011920929,1.0
DYTG_LPF_A,0.699999988079071,0.6499999761581421
DYTG_MAXACC,8.0,4.0
DYTG_MAXAGE,0.20000000298023224,0.25
DYTG_MAXDZ,8.0,1.0
DYTG_MAXV,42.0,8.0
DYTG_MAXYAWR,120.0,30.0
DYTG_N_FOL,0.6000000238418579,2.0
DYTG_PREDMAX,0.029999999329447746,0.20000000298023224
DYTG_RELOCKN,10,3
DYTG_V_FOL,40.0,2.0
DYTG_XYDB,0.11999999731779099,0.20000000298023224
DYTG_XYFULL,0.8500000238418579,0.6000000238418579
DYTG_XYOVR_Z,0.6000000238418579,0.75
DYTG_XYROT_EN,1,0
DYTG_XYROT_MIN,0.15000000596046448,0.20000000298023224
DYTG_XYROT_W,0.800000011920929,1.0
